profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
632,16,7,2,127,200,10,4,60,30,1,0,1,0,0
0,16,7,3,127,0,0,0,0,0,0,0,0,0,1
1251,16,8,1,128,300,20,1,70,40,1,0,0,1,0
1028,16,8,2,128,200,10,1,60,40,1,0,1,0,0
0,16,8,3,128,0,0,0,0,0,0,0,0,0,1
928,17,1,1,129,100,10,4,50,40,0,1,1,0,0
140,17,1,2,129,200,15,4,50,20,0,1,0,1,0
0,17,1,3,129,0,0,0,0,0,0,0,0,0,1
57,17,2,1,130,300,10,4,50,20,1,0,1,0,0
1234,17,2,2,130,100,10,0.5,70,40,0,1,0,1,0
0,17,2,3,130,0,0,0,0,0,0,0,0,0,1
103,17,3,1,131,100,15,1,50,20,0,1,0,1,0
993,17,3,2,131,300,10,4,50,40,1,0,0,1,0
0,17,3,3,131,0,0,0,0,0,0,0,0,0,1
490,17,4,1,132,100,15,4,50,30,1,0,1,0,0
250,17,4,2,132,100,20,1,60,20,0,1,0,1,0
0,17,4,3,132,0,0,0,0,0,0,0,0,0,1
29,17,5,1,133,200,10,1,50,20,0,1,1,0,0
190,17,5,2,133,100,10,2,60,20,0,1,1,0,0
0,17,5,3,133,0,0,0,0,0,0,0,0,0,1
1273,17,6,1,134,100,15,2,70,40,0,1,0,1,0
114,17,6,2,134,300,15,2,50,20,1,0,0,1,0
0,17,6,3,134,0,0,0,0,0,0,0,0,0,1
139,17,7,1,135,100,15,4,50,20,0,1,0,1,0
589,17,7,2,135,100,15,0.5,60,30,0,1,1,0,0
0,17,7,3,135,0,0,0,0,0,0,0,0,0,1
605,17,8,1,136,200,10,1,60,30,0,1,1,0,0
320,17,8,2,136,200,15,1,70,20,0,1,1,0,0
0,17,8,3,136,0,0,0,0,0,0,0,0,0,1
1098,18,1,1,137,300,20,0.5,60,40,0,1,0,1,0
333,18,1,2,137,300,20,2,70,20,1,0,1,0,0
0,18,1,3,137,0,0,0,0,0,0,0,0,0,1
